PERMNO,date,TICKER,VOL,RET
13407,5/18/2012,FB,512952001,C
13407,5/21/2012,FB,168685926,-0.109903
13407,5/22/2012,FB,101474300,-0.089039
13407,5/23/2012,FB,73776510,0.032258
13407,5/24/2012,FB,50422865,0.032187
13407,5/25/2012,FB,37237146,-0.033909
13407,5/29/2012,FB,78288035,-0.096208
13407,5/30/2012,FB,57338747,-0.022538
13407,5/31/2012,FB,111566649,0.050018
13407,6/1/2012,FB,41838429,-0.063514
13407,6/4/2012,FB,35044698,-0.029582
13407,6/5/2012,FB,42500933,-0.038327
13407,6/6/2012,FB,61385247,0.036376
13407,6/7/2012,FB,25939081,-0.01865
13407,6/8/2012,FB,38066455,0.030027
13407,6/11/2012,FB,28153725,-0.003506
13407,6/12/2012,FB,15829763,0.014627
13407,6/13/2012,FB,17086664,-0.004744
13407,6/14/2012,FB,16834394,0.037404
13407,6/15/2012,FB,43501911,0.06094
13407,6/18/2012,FB,42996714,0.046512
13407,6/19/2012,FB,31139774,0.01595
13407,6/20/2012,FB,15558636,-0.009746
13407,6/21/2012,FB,21909882,0.007595
13407,6/22/2012,FB,74665825,0.038002
13407,6/25/2012,FB,24322371,-0.029955
13407,6/26/2012,FB,24836393,0.032439
13407,6/27/2012,FB,28596928,-0.026284
13407,6/28/2012,FB,17712596,-0.026993
13407,6/29/2012,FB,19521297,-0.00845
13407,7/2/2012,FB,14158659,-0.01042
13407,7/3/2012,FB,8764100,0.013942
13407,7/5/2012,FB,10083350,0.008654
13407,7/6/2012,FB,11183428,0.008262
13407,7/9/2012,FB,17799293,0.013867
13407,7/10/2012,FB,14290364,-0.021759
13407,7/11/2012,FB,13009954,-0.015888
13407,7/12/2012,FB,11289007,-0.005166
13407,7/13/2012,FB,8132624,-0.002921
13407,7/16/2012,FB,24626880,-0.080566
13407,7/17/2012,FB,30358229,-0.005488
13407,7/18/2012,FB,16781309,0.036312
13407,7/19/2012,FB,13697987,-0.003779
13407,7/20/2012,FB,11862305,-0.008276
13407,7/23/2012,FB,12440392,-0.000348
13407,7/24/2012,FB,11570086,-0.010435
13407,7/25/2012,FB,17208101,0.031283
13407,7/26/2012,FB,64769005,-0.085038
13407,7/27/2012,FB,122002988,-0.116968
13407,7/30/2012,FB,29251138,-0.023413
13407,7/31/2012,FB,55536838,-0.062203
13407,8/1/2012,FB,44570320,-0.038231
13407,8/2/2012,FB,56340964,-0.04023
13407,8/3/2012,FB,80490769,0.052395
13407,8/6/2012,FB,27720772,0.039355
13407,8/7/2012,FB,36817067,-0.054745
13407,8/8/2012,FB,29509347,0
13407,8/9/2012,FB,15623167,0.013996
13407,8/10/2012,FB,25779342,0.037934
13407,8/13/2012,FB,25007255,-0.009492
13407,8/14/2012,FB,39153127,-0.056482
13407,8/15/2012,FB,47844841,0.040236
13407,8/16/2012,FB,156678671,-0.062736
13407,8/17/2012,FB,128697160,-0.041268
13407,8/20/2012,FB,100518692,0.050446
