DATE,sprtrn
19900102,0.017799
19900103,-0.002586
19900104,-0.008613
19900105,-0.009756
19900108,0.004514
19900109,-0.011787
19900110,-0.006607
19900111,0.003513
19900112,-0.024675
19900115,-0.008619
19900116,0.011128
19900117,-0.009831
19900118,0.002341
19900119,0.002839
19900122,-0.025859
19900123,0.003723
19900124,-0.004071
19900125,-0.012657
19900126,-0.000859
19900129,-0.001842
19900130,-0.006827
19900131,0.018887
19900201,-0.000881
19900202,0.006478
19900205,0.00281
19900206,-0.006599
19900207,0.012407
19900208,-0.002367
19900209,0.001982
19900212,-0.010611
19900213,0.002848
19900214,0.002991
19900215,0.008674
19900216,-0.00648
19900220,-0.014216
19900221,-0.000976
19900222,-0.006012
19900223,-0.004759
19900226,0.013944
19900227,0.004838
19900228,0.004936
19900301,0.002561
19900302,0.008415
19900305,-0.005364
19900306,0.012555
19900307,-0.0029
19900308,0.009853
19900309,-0.006877
19900312,0.00219
19900313,-0.007884
19900314,0.002589
19900315,0.003562
19900316,0.011359
19900319,0.004738
19900320,-0.005705
19900321,-0.005358
19900322,-0.011921
19900323,0.004558
19900326,0.001216
19900327,0.011462
19900328,0.001464
19900329,-0.003538
19900330,-0.002494
19900402,-0.003648
19900403,0.014585
19900404,-0.007421
19900405,-0.001055
19900406,-0.001908
19900409,0.003793
19900410,0.002051
19900411,-0.000439
19900412,0.007078
19900416,0.001162
19900417,-0.000174
19900418,-0.011489
19900419,-0.007719
19900420,-0.008785
19900423,-0.012145
19900424,-0.002084
19900425,0.005055
19900426,0.00268
19900427,-0.011444
19900430,0.005135
19900501,0.004383
19900502,0.006712
19900503,0.003259
19900504,0.008404
19900507,0.006324
19900508,0.004346
19900509,0.002485
19900510,0.0028
19900511,0.023792
19900514,0.007813
19900515,-0.001325
19900516,-0.00079
19900517,0.001328
19900518,0.00048
19900521,0.009474
19900522,0.001201
19900523,0.002399
19900524,-0.002449
19900525,-0.010686
19900529,0.017119
19900530,0.000582
19900531,0.001025
19900601,0.005343
19900604,0.011675
19900605,-0.002069
19900606,-0.004582
19900607,-0.004959
19900608,-0.012226
19900611,0.00814
19900612,0.012775
19900613,-0.003686
19900614,-0.005481
19900615,0.000028
19900618,-0.016616
19900619,0.004455
19900620,0.001757
19900621,0.003815
19900622,-0.013982
19900625,-0.008778
19900626,-0.00071
19900627,0.008749
19900628,0.007011
19900629,0.001091
19900702,0.004246
19900703,0.001724
19900705,-0.012439
19900706,0.007704
19900709,0.003069
19900710,-0.008428
19900711,0.013296
19900712,0.011655
19900713,0.005117
19900716,0.004465
19900717,-0.003876
19900718,-0.008979
19900719,0.00302
19900720,-0.010155
19900723,-0.017422
19900724,0.001351
19900725,0.003654
19900726,-0.003304
19900727,-0.00694
19900730,0.00597
19900731,0.001688
19900801,-0.001769
19900802,-0.011364
19900803,-0.018835
19900806,-0.030244
19900807,0.001196
19900808,0.010513
19900809,0.004699
19900810,-0.013002
19900813,0.009895
19900814,0.001623
19900815,0.001974
19900816,-0.022555
19900817,-0.013719
19900820,0.002074
19900821,-0.020243
19900822,-0.016498
19900823,-0.029979
19900824,0.014492
19900827,0.031877
19900828,-0.000311
19900829,0.008869
19900830,-0.016904
19900831,0.01208
19900904,0.001643
19900905,0.004024
19900906,-0.012115
19900907,0.009174
19900910,-0.005473
19900911,-0.001834
19900912,0.004672
19900913,-0.012061
19900914,-0.005712
19900917,0.002967
19900918,0.002612
19900919,-0.006277
19900920,-0.016172
19900921,-0.000514
19900924,-0.021618
19900925,0.012049
19900926,-0.010381
19900927,-0.013407
19900928,0.016879
19901001,0.029048
19901002,0.000857
19901003,-0.012087
19901004,0.004143
19901005,-0.003806
19901008,0.006356
19901009,-0.026732
19901010,-0.015438
19901011,-0.016412
19901012,0.015467
19901015,0.010666
19901016,-0.014214
19901017,-0.000535
19901018,0.023363
19901019,0.022045
19901022,0.007296
19901023,-0.007625
19901024,0.000768
19901025,-0.007774
19901026,-0.017603
19901029,-0.009288
19901030,0.007221
19901031,-0.000197
19901101,0.009934
19901102,0.015732
19901105,0.008786
19901106,-0.009441
19901107,-0.018003
19901108,0.005229
19901109,0.019928
19901112,0.018295
19901113,-0.005665
19901114,0.008594
19901115,-0.010549
19901116,0.000315
19901119,0.007001
19901120,-0.01262
19901121,0.002283
19901123,-0.002943
19901126,0.004475
19901127,0.005024
19901128,-0.000472
19901129,-0.004812
19901130,0.01833
19901203,0.005835
19901204,0.006942
19901205,0.010939
19901206,-0.002576
19901207,-0.004011
19901210,0.003478
19901211,-0.007449
19901212,0.011488
19901213,-0.002574
19901214,-0.007652
19901217,-0.002448
19901218,0.012361
19901219,0.000454
19901220,-0.000242
19901221,0.004938
19901224,-0.005576
19901226,0.00288
19901227,-0.007738
19901228,0.00131
19901231,0.004563
19910102,-0.011417
19910103,-0.013907
19910104,-0.002827
19910107,-0.017321
19910108,-0.001712
19910109,-0.010829
19910110,0.00976
19910111,0.002226
19910114,-0.008692
19910115,0.003968
19910116,0.007777
19910117,0.037322
19910118,0.012989
19910121,-0.003522
19910122,-0.008307
19910123,0.005787
19910124,0.01384
19910125,0.003853
19910128,-0.000119
19910129,-0.000565
19910130,0.015096
19910131,0.008859
19910201,-0.002559
19910204,0.01542
19910205,0.008383
19910206,0.019387
19910207,-0.004329
19910208,0.007938
19910211,0.025685
19910212,-0.008356
19910213,0.009631
19910214,-0.013007
19910215,0.013289
19910219,0.000894
19910220,-0.011505
19910221,-0.000466
19910222,0.001863
19910225,0.004403
19910226,-0.012117
19910227,0.013588
19910228,-0.001822
19910301,0.009263
19910304,-0.003077
19910305,0.020009
19910306,-0.00146
19910307,-0.000691
19910308,-0.002554
19910311,-0.005307
19910312,-0.007856
19910313,0.012269
19910314,-0.002857
19910315,0.000241
19910318,-0.003962
19910319,-0.014834
19910320,0.003628
19910321,-0.003642
19910322,0.002455
19910325,0.006395
19910326,0.017495
19910327,-0.002525
19910328,-0.000346
19910401,-0.010447
19910402,0.022085
19910403,-0.001476
19910404,0.00219
19910405,-0.011612
19910408,0.008792
19910409,-0.013469
19910410,-0.001098
19910411,0.012006
19910412,0.007335
19910415,0.002077
19910416,0.016868
19910417,0.007301
19910418,-0.005097
19910419,-0.010966
19910422,-0.008459
19910423,0.002126
19910424,0.002619
19910425,-0.00917
19910426,-0.000606
19910429,-0.014142
19910430,0.004523
19910501,0.013161
19910502,0.000605
19910503,0.000736
19910506,-0.001891
19910507,-0.007262
19910508,0.003154
19910509,0.012523
19910510,-0.019596
19910513,0.002715
19910514,-0.013643
19910515,-0.008207
19910516,0.009822
19910517,0.000537
19910520,-0.000295
19910521,0.008246
19910522,0.002238
19910523,-0.003243
19910524,0.006721
19910528,0.011788
19910529,0.002225
19910530,0.010894
19910531,0.007417
19910603,-0.00454
19910604,-0.000825
19910605,-0.006834
19910606,-0.003791
19910607,-0.010948
19910610,-0.002267
19910611,0.006551
19910612,-0.011547
19910613,0.002602
19910614,0.01234
19910617,-0.00565
19910618,-0.004051
19910619,-0.009245
19910620,0.00088
19910621,0.006206
19910624,-0.018028
19910625,-0.000782
19910626,0.002536
19910627,0.007562
19910628,-0.008654
19910701,0.018213
19910702,-0.001191
19910703,-0.010968
19910705,0.002009
19910708,0.010319
19910709,-0.004842
19910710,-0.000984
19910711,0.003274
19910712,0.008701
19910715,0.005628
19910716,-0.002223
19910717,-0.000944
19910718,0.010992
19910719,-0.002984
19910722,-0.003488
19910723,-0.009037
19910724,-0.002056
19910725,0.006127
19910726,-0.000079
19910729,0.005828
19910730,0.009239
19910731,0.002896
19910801,-0.001779
19910802,0.000155
19910805,-0.005475
19910806,0.014439
19910807,-0.000154
19910808,-0.003175
19910809,-0.005651
19910812,0.002325
19910813,0.004123
19910814,0.000719
19910815,-0.001462
19910816,-0.009632
19910819,-0.023627
19910820,0.007863
19910821,0.029413
19910822,0.001895
19910823,0.007257
19910826,-0.000812
19910827,-0.002006
19910828,0.009108
19910829,-0.000429
19910830,-0.002623
19910903,-0.008295
19910904,-0.005559
19910905,-0.002128
19910906,-0.000103
19910909,-0.001362
19910910,-0.01032
19910911,0.001378
19910912,0.005843
19910913,-0.009681
19910916,0.005709
19910917,-0.000726
19910918,0.003735
19910919,0.001602
19910920,0.000929
19910923,-0.005156
19910924,0.004638
19910925,-0.002141
19910926,-0.001008
19910927,-0.001527
19910930,0.005079
19911001,0.003455
19911002,-0.002415
19911003,-0.009762
19911004,-0.008401
19911007,-0.004564
19911008,0.003083
19911009,-0.010166
19911010,0.009952
19911011,0.002365
19911014,0.01316
19911015,0.011747
19911016,0.004578
19911017,-0.00224
19911018,0.00148
19911021,-0.006318
19911022,-0.005615
19911023,0.000284
19911024,-0.007398
19911025,-0.002259
19911028,0.013847
19911029,0.005032
19911030,0.003781
19911031,-0.001272
19911101,-0.002905
19911104,-0.002658
19911105,-0.004023
19911106,0.003241
19911107,0.009616
19911108,-0.002108
19911111,0.000585
19911112,0.009208
19911113,0.001689
19911114,-0.000654
19911115,-0.036586
19911118,0.006848
19911119,-0.015107
19911120,-0.002346
19911121,0.004042
19911122,-0.010314
19911125,-0.002127
19911126,0.00698
19911127,-0.003731
19911129,-0.003532
19911202,0.01647
19911203,-0.001154
19911204,-0.002336
19911205,-0.007051
19911206,0.004531
19911209,-0.002216
19911210,-0.000952
19911211,-0.000529
19911212,0.010193
19911213,0.007653
19911216,-0.000026
19911217,-0.004474
19911218,0.001933
19911219,-0.002503
19911220,0.011816
19911223,0.025269
19911224,0.006325
19911226,0.013798
19911227,0.004002
19911230,0.021355
19911231,0.004697
19920102,0.000408
19920103,0.004985
19920106,-0.003291
19920107,-0.00134
19920108,0.001677
19920109,-0.001172
19920110,-0.00601
19920113,-0.001831
19920114,0.014722
19920115,0.000785
19920116,-0.006084
19920117,0.001554
19920120,-0.005969
19920121,-0.008935
19920122,0.013305
19920123,-0.007581
19920124,0.001253
19920127,-0.001179
19920128,-0.000072
19920129,-0.011134
19920130,0.003144
19920131,-0.006899
19920203,0.00181
19920204,0.010549
19920205,-0.000024
19920206,-0.000048
19920207,-0.006597
19920210,0.006519
19920211,-0.000024
19920212,0.008145
19920213,-0.008247
19920214,-0.002925
19920218,-0.012364
19920219,0.00216
19920220,0.013815
19920221,-0.005895
19920224,0.001969
19920225,-0.004415
19920226,0.011938
19920227,-0.003587
19920228,-0.002803
19920302,-0.000606
19920303,0.00097
19920304,-0.008526
19920305,-0.006889
19920306,-0.005092
19920309,0.001904
19920310,0.004146
19920311,-0.007029
19920312,-0.000347
19920313,0.004828
19920316,0.001355
19920317,0.00785
19920318,-0.00105
19920319,0.001589
19920320,0.00366
19920323,-0.00338
19920324,-0.002513
19920325,-0.003326
19920326,0.000834
19920327,-0.01069
19920330,-0.001239
19920331,0.001712
19920401,0.001338
19920402,-0.009227
19920403,0.002622
19920406,0.010061
19920407,-0.018566
19920408,-0.008943
19920409,0.015564
19920410,0.00911
19920413,0.004428
19920414,0.015539
19920415,0.009433
19920416,-0.000553
19920420,-0.014157
19920421,0.000244
19920422,-0.001097
19920423,0.004368
19920424,-0.006268
19920427,-0.001394
19920428,0.001616
19920429,0.007113
19920430,0.007111
19920501,-0.005832
19920504,0.010617
19920505,-0.000168
19920506,-0.00012
19920507,-0.002255
19920508,0.000481
19920511,0.005865
19920512,-0.005257
19920513,0.000384
19920514,-0.007948
19920515,-0.007382
19920518,0.006633
19920519,0.008624
19920520,-0.002354
19920521,-0.006717
19920522,0.003442
19920526,-0.006304
19920527,0.001847
19920528,0.011088
19920529,-0.003335
19920601,0.004695
19920602,-0.009106
19920603,0.002636
19920604,-0.003208
19920605,0.000532
19920608,-0.00029
19920609,-0.007983
19920610,-0.006853
19920611,0.00442
19920612,0.001736
19920615,0.001293
19920616,-0.004801
19920617,-0.014841
19920618,-0.003232
19920619,0.006759
19920622,-0.000669
19920623,0.001587
19920624,-0.00052
19920625,-0.001758
19920626,0.000819
19920629,0.013608
19920630,-0.001956
19920701,0.011614
19920702,-0.002688
19920706,0.005027
19920707,-0.011309
19920708,0.002737
19920709,0.009603
19920710,0.000966
19920713,0.000603
19920714,0.006773
19920715,-0.001389
19920716,0.001055
19920717,-0.004598
19920720,-0.004499
